cluster_id,main_factor
197,"Distracted,Passing_Closely,Running_Light_Sign,Speeding"
198,"Failure_to_Yield,Improper_Right_Turn"
199,Running_Light_Sign
200,"Failure_to_Yield,Speeding"
201,Failure_to_Yield
202,Failure_to_Yield
203,"Distracted,Speeding"
204,"Failure_to_Yield,Improper_Right_Turn"
205,"Distracted,Failure_to_Yield"
206,Failure_to_Yield
207,"Passing_Closely,Running_Light_Sign,Speeding"
208,Running_Light_Sign
209,Failure_to_Yield
210,Distracted
211,"Distracted,Failure_to_Yield,Speeding"
212,"Other,Passing_Closely,Speeding"
213,Failure_to_Yield
214,"Passing_Closely,Speeding"
215,Failure_to_Yield
216,Failure_to_Yield
217,"Failure_to_Yield,Speeding"
218,"Distracted,Failure_to_Yield,Speeding"
219,
220,Speeding
221,"Failure_to_Yield,Improper_Right_Turn,Passing_Closely"
222,"Failure_to_Yield,Improper_Right_Turn"
223,Failure_to_Yield
224,
225,Failure_to_Yield
226,Failure_to_Yield
227,Failure_to_Yield
228,Failure_to_Yield
229,
230,Other
231,
232,Failure_to_Yield
233,"Running_Light_Sign,Speeding"
234,"Catching_Yellow_Light,Failure_to_Yield,Running_Light_Sign"
235,Other
236,Failure_to_Yield
237,Improper_Right_Turn
238,Failure_to_Yield
239,"Distracted,Failure_to_Yield"
240,Failure_to_Yield
241,"Distracted,Passing_Closely"
242,Failure_to_Yield
243,Failure_to_Yield
244,Speeding
245,"Failure_to_Yield,Passing_Closely,Running_Light_Sign,Speeding"
246,"Distracted,Jumping_the_Curb,Speeding"
247,"Failure_to_Yield,Improper_Right_Turn"
248,Passing_Closely
249,"Failure_to_Yield,Improper_Right_Turn,Speeding"
250,Failure_to_Yield
251,Passing_Closely
252,"Distracted,Improper_Right_Turn"
253,"Failure_to_Yield,Improper_Right_Turn,Passing_Closely,Speeding"
254,Failure_to_Yield
255,"Failure_to_Yield,Improper_Right_Turn"
256,Failure_to_Yield
257,Failure_to_Yield
258,Failure_to_Yield
259,
260,
261,"Failure_to_Yield,Running_Light_Sign,Speeding"
262,Distracted
263,"Distracted,Failure_to_Yield"
264,Speeding
265,Failure_to_Yield
266,"Failure_to_Yield,Improper_Right_Turn"
267,"Failure_to_Yield,Improper_Right_Turn"
268,"Failure_to_Yield,Speeding"
269,"Distracted,Failure_to_Yield,Speeding"
270,Speeding
271,Failure_to_Yield
272,
273,Failure_to_Yield
274,"Distracted,Failure_to_Yield,Speeding"
275,Distracted
276,Speeding
277,Speeding
278,"Distracted,Failure_to_Yield"
279,Passing_Closely
280,Passing_Closely
281,"Failure_to_Yield,Speeding"
282,Failure_to_Yield
283,"Failure_to_Yield,Improper_Right_Turn"
284,"Distracted,Failure_to_Yield,Running_Light_Sign"
285,Speeding
286,"Distracted,Failure_to_Yield,Speeding"
287,Speeding
288,"Failure_to_Yield,Improper_Right_Turn"
289,Failure_to_Yield
290,"Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
291,Passing_Closely
292,Failure_to_Yield
293,"Running_Light_Sign,Speeding"
294,Speeding
295,"Distracted,Passing_Closely,Speeding"
296,"Failure_to_Yield,Running_Light_Sign"
297,"Running_Light_Sign,Speeding"
298,"Distracted,Failure_to_Yield"
299,Speeding
300,
301,
302,Speeding
303,"Distracted,Failure_to_Yield"
304,"Failure_to_Yield,Speeding"
305,"Failure_to_Yield,Improper_Right_Turn"
306,"Distracted,Failure_to_Yield,Running_Light_Sign"
307,"Failure_to_Yield,Speeding"
308,Speeding
309,"Distracted,Speeding"
310,"Failure_to_Yield,Running_Light_Sign,Speeding"
311,Failure_to_Yield
312,"Distracted,Failure_to_Yield"
313,Speeding
314,"Failure_to_Yield,Running_Light_Sign,Speeding"
315,Failure_to_Yield
316,Running_Light_Sign
317,"Failure_to_Yield,Speeding"
318,"Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
319,Failure_to_Yield
320,Failure_to_Yield
321,
322,Failure_to_Yield
323,"Running_Light_Sign,Speeding"
324,"Failure_to_Yield,Improper_Right_Turn"
325,"Distracted,Failure_to_Yield,Improper_Right_Turn"
326,
327,"Failure_to_Yield,Speeding"
328,"Running_Light_Sign,Speeding"
329,"Distracted,Speeding"
330,Speeding
331,"Distracted,Failure_to_Yield,Running_Light_Sign"
332,Running_Light_Sign
333,"Failure_to_Yield,Speeding"
334,"Distracted,Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
335,"Distracted,Failure_to_Yield,Improper_Right_Turn,Running_Light_Sign"
336,"Failure_to_Yield,Running_Light_Sign"
337,"Passing_Closely,Speeding"
338,Distracted
339,"Passing_Closely,Speeding"
340,"Failure_to_Yield,Speeding"
341,"Distracted,Passing_Closely,Speeding"
342,"Distracted,Failure_to_Yield"
343,"Failure_to_Yield,Speeding"
344,Failure_to_Yield
345,Failure_to_Yield
346,Speeding
347,
348,"Failure_to_Yield,Other"
349,"Catching_Yellow_Light,Failure_to_Yield,Improper_Right_Turn"
350,"Failure_to_Yield,Improper_Right_Turn"
