cluster_id,main_factor
203,Failure_to_Yield
204,Failure_to_Yield
205,"Distracted,Failure_to_Yield,Speeding"
206,Failure_to_Yield
207,
208,Passing_Closely
209,
210,Failure_to_Yield
211,"Passing_Closely,Failure_to_Yield,Speeding"
212,"Speeding,Other"
213,Other
214,"Failure_to_Yield,Speeding"
215,
216,
217,"Failure_to_Yield,Speeding"
218,"Passing_Closely,Distracted,Failure_to_Yield,Running_Light_Sign,Speeding"
219,
